2026-09-25 12:15:20 | src.data.dataset_generator     | INFO   | saved data/raw/760fc038/val_snr15_echo3.npz: 5000 symbols, x shape=(5000, 100), tau in [1, 33], f_d in [1.167e-08, 7.999e-05]
2026-09-25 12:15:21 | src.data.dataset_generator     | INFO   | saved data/raw/760fc038/val_snr17_echo3.npz: 5000 symbols, x shape=(5000, 100), tau in [1, 33], f_d in [5.824e-08, 7.976e-05]
2026-09-25 12:15:22 | src.data.dataset_generator     | INFO   | saved data/raw/760fc038/val_snr19_echo3.npz: 5000 symbols, x shape=(5000, 100), tau in [1, 33], f_d in [9.317e-08, 7.983e-05]
2026-09-25 12:15:23 | src.data.dataset_generator     | INFO   | saved data/raw/760fc038/val_snr21_echo3.npz: 5000 symbols, x shape=(5000, 100), tau in [1, 33], f_d in [9.097e-08, 7.998e-05]
2026-09-25 12:15:23 | src.data.dataset_generator     | INFO   | split 'val': 14 files generated, 5000 symbols per combination (combos=14)
2026-09-25 12:15:25 | src.data.dataset_generator     | INFO   | saved data/raw/760fc038/test_snr-5_echo3.npz: 20000 symbols, x shape=(20000, 100), tau in [1, 33], f_d in [4.596e-08, 8.000e-05]
2026-09-25 12:15:27 | src.data.dataset_generator     | INFO   | saved data/raw/760fc038/test_snr-3_echo3.npz: 20000 symbols, x shape=(20000, 100), tau in [1, 33], f_d in [3.709e-08, 7.996e-05]
2026-09-25 12:15:29 | src.data.dataset_generator     | INFO   | saved data/raw/760fc038/test_snr-1_echo3.npz: 20000 symbols, x shape=(20000, 100), tau in [1, 33], f_d in [1.647e-08, 7.999e-05]
2026-09-25 12:15:31 | src.data.dataset_generator     | INFO   | saved data/raw/760fc038/test_snr1_echo3.npz: 20000 symbols, x shape=(20000, 100), tau in [1, 33], f_d in [2.711e-08, 7.998e-05]
2026-09-25 12:15:33 | src.data.dataset_generator     | INFO   | saved data/raw/760fc038/test_snr3_echo3.npz: 20000 symbols, x shape=(20000, 100), tau in [1, 33], f_d in [9.743e-09, 7.999e-05]
2026-09-25 12:15:36 | src.data.dataset_generator     | INFO   | saved data/raw/760fc038/test_snr5_echo3.npz: 20000 symbols, x shape=(20000, 100), tau in [1, 33], f_d in [3.631e-09, 7.997e-05]
2026-09-25 12:15:38 | src.data.dataset_generator     | INFO   | saved data/raw/760fc038/test_snr7_echo3.npz: 20000 symbols, x shape=(20000, 100), tau in [1, 33], f_d in [6.121e-09, 7.994e-05]
2026-09-25 12:15:40 | src.data.dataset_generator     | INFO   | saved data/raw/760fc038/test_snr9_echo3.npz: 20000 symbols, x shape=(20000, 100), tau in [1, 33], f_d in [7.410e-09, 7.982e-05]
2026-09-25 12:15:42 | src.data.dataset_generator     | INFO   | saved data/raw/760fc038/test_snr11_echo3.npz: 20000 symbols, x shape=(20000, 100), tau in [1, 33], f_d in [1.007e-08, 7.999e-05]
2026-09-25 12:15:44 | src.data.dataset_generator     | INFO   | saved data/raw/760fc038/test_snr13_echo3.npz: 20000 symbols, x shape=(20000, 100), tau in [1, 33], f_d in [7.872e-09, 7.999e-05]
2026-09-25 12:15:46 | src.data.dataset_generator     | INFO   | saved data/raw/760fc038/test_snr15_echo3.npz: 20000 symbols, x shape=(20000, 100), tau in [1, 33], f_d in [8.955e-10, 7.999e-05]
2026-09-25 12:15:49 | src.data.dataset_generator     | INFO   | saved data/raw/760fc038/test_snr17_echo3.npz: 20000 symbols, x shape=(20000, 100), tau in [1, 33], f_d in [1.103e-08, 7.996e-05]
2026-09-25 12:15:52 | src.data.dataset_generator     | INFO   | saved data/raw/760fc038/test_snr19_echo3.npz: 20000 symbols, x shape=(20000, 100), tau in [1, 33], f_d in [1.161e-08, 7.998e-05]
2026-09-25 12:15:54 | src.data.dataset_generator     | INFO   | saved data/raw/760fc038/test_snr21_echo3.npz: 20000 symbols, x shape=(20000, 100), tau in [1, 33], f_d in [1.161e-07, 7.999e-05]
2026-09-25 12:15:54 | src.data.dataset_generator     | INFO   | split 'test': 14 files generated, 20000 symbols per combination (combos=14)
2026-09-25 12:15:54 | src.data.data_loader           | INFO   | split 'train': 105000 total samples, x shape=(105000, 100), tau in [1.00, 33.00], f_d in [1.089e-08, 7.999e-05]
2026-09-25 12:15:54 | src.data.data_loader           | INFO   | balancing verified: 7500 samples for each of the 14 (SNR, K) combinations
2026-09-25 12:16:09 | src.experiments.pipeline       | INFO   | Split 'train': 105000 samples
2026-09-25 12:16:10 | src.data.data_loader           | INFO   | split 'val': 70000 total samples, x shape=(70000, 100), tau in [1.00, 33.00], f_d in [1.167e-08, 7.999e-05]
2026-09-25 12:16:10 | src.data.data_loader           | INFO   | balancing verified: 5000 samples for each of the 14 (SNR, K) combinations
2026-09-25 12:16:20 | src.experiments.pipeline       | INFO   | Split 'val': 70000 samples
2026-09-25 12:16:24 | src.data.data_loader           | INFO   | dataset built: n=105000, batch_size=128, feature_mode=iq, shuffle=True, seed=42
2026-09-25 12:16:25 | src.data.data_loader           | INFO   | dataset built: n=70000, batch_size=128, feature_mode=iq, shuffle=False, seed=42
2026-09-25 12:16:25 | __main__                       | INFO   | Architecture: conv1d
2026-09-25 12:16:25 | src.experiments.pipeline       | INFO   | build_model 'conv1d': model seed applied = 21 (from model.seeds.conv1d, dataset seed stays 42)
2026-09-25 12:16:26 | src.models.heads               | INFO   | communication_head built: input_dim=64, units=128, M=2, params=8578
2026-09-25 12:16:26 | src.models.heads               | INFO   | sensing_head built: input_dim=227, units=32, output_units=2, params=7362
2026-09-25 12:16:28 | src.models.ultra_can           | INFO   | model 'dual_head_ultra_can' built: comm=8578 params, sensing=7362 params, TOTAL=26597 params
2026-09-25 12:16:28 | src.experiments.pipeline       | INFO   | Model 'dual_head_ultra_can' built: 26597 trainable parameters.
2026-09-25 12:16:28 | src.experiments.pipeline       | INFO   | Training for 30 epochs, lambda_mse=2.0000
2026-09-25 12:16:28 | src.training.trainer           | INFO   | Trainer initialized: lambda_mse = 2.0
2026-09-25 12:16:29 | src.training.trainer           | INFO   | Model compiled: loss_weights = {'comm': 1.0, 'sensing': 2}, lr=0.001000, optimizer=adam, label_smoothing=0.1, lr_schedule=cosine, sensing_range_penalty=1.0
2026-09-25 12:16:31 | src.training.trainer           | INFO   | Callbacks configured: 5
2026-09-25 12:16:31 | src.training.trainer           | INFO   | Starting training: epochs=30, batch_size=128
2026-09-25 12:20:04 | src.training.trainer           | INFO   | History saved to /content/drive/MyDrive/sezione_3/full/ber_vs_snr/k3_doppler_full/conv1d/logs/history.csv
2026-09-25 12:20:04 | src.training.trainer           | INFO   | Metadata saved to /content/drive/MyDrive/sezione_3/full/ber_vs_snr/k3_doppler_full/conv1d/logs/run_metadata.json
2026-09-25 12:20:04 | src.training.trainer           | INFO   | Training completed in 27 epochs. Best val_loss = 0.412517, best loss = 0.409533
2026-09-25 12:20:04 | src.training.trainer           | INFO   | Best weights reloaded from /content/drive/MyDrive/sezione_3/full/ber_vs_snr/k3_doppler_full/conv1d/logs/best_weights.weights.h5 before evaluation/saving
