2026-09-25 14:39:22 | src.evaluation.evaluator       | WARNING | SNR=-1.0 dB: 21/512 sensing elements outside [0,1] (min=-0.8482, max=1.4784) -> clamped
2026-09-25 14:39:22 | src.evaluation.evaluator       | WARNING | SNR=1.0 dB: 11/512 sensing elements outside [0,1] (min=-0.3937, max=1.3332) -> clamped
2026-09-25 14:39:22 | src.evaluation.evaluator       | WARNING | SNR=3.0 dB: 21/512 sensing elements outside [0,1] (min=-0.9039, max=1.4565) -> clamped
2026-09-25 14:39:22 | src.evaluation.evaluator       | WARNING | SNR=5.0 dB: 23/512 sensing elements outside [0,1] (min=-0.6472, max=2.1073) -> clamped
2026-09-25 14:39:22 | src.evaluation.evaluator       | WARNING | SNR=7.0 dB: 23/512 sensing elements outside [0,1] (min=-0.6157, max=1.7166) -> clamped
2026-09-25 14:39:23 | src.evaluation.evaluator       | WARNING | SNR=9.0 dB: 16/512 sensing elements outside [0,1] (min=-0.6428, max=1.5011) -> clamped
2026-09-25 14:39:23 | src.evaluation.evaluator       | WARNING | SNR=11.0 dB: 26/512 sensing elements outside [0,1] (min=-0.8598, max=1.5951) -> clamped
2026-09-25 14:39:23 | src.evaluation.evaluator       | WARNING | SNR=13.0 dB: 17/512 sensing elements outside [0,1] (min=-0.4250, max=1.4703) -> clamped
2026-09-25 14:39:23 | src.evaluation.evaluator       | WARNING | SNR=15.0 dB: 19/512 sensing elements outside [0,1] (min=-0.7950, max=2.0643) -> clamped
2026-09-25 14:39:23 | src.evaluation.evaluator       | WARNING | SNR=17.0 dB: 23/512 sensing elements outside [0,1] (min=-0.4725, max=1.7057) -> clamped
2026-09-25 14:39:24 | src.evaluation.evaluator       | WARNING | SNR=19.0 dB: 21/512 sensing elements outside [0,1] (min=-0.2261, max=1.1972) -> clamped
2026-09-25 14:39:24 | src.evaluation.evaluator       | WARNING | SNR=21.0 dB: 23/512 sensing elements outside [0,1] (min=-0.4627, max=1.3076) -> clamped
2026-09-25 14:39:24 | src.evaluation.evaluator       | INFO   | Evaluation completed for 14 SNR points
2026-09-25 14:39:24 | src.experiments.run_jamming    | INFO   | jamming cw r=0 JSR=6.0 dB | BER=0.51032
2026-09-25 14:39:24 | src.evaluation.evaluator       | INFO   | Starting evaluation over 14 SNR points
2026-09-25 14:39:24 | src.evaluation.evaluator       | WARNING | SNR=-5.0 dB: 19/512 sensing elements outside [0,1] (min=-0.8457, max=1.8228) -> clamped
2026-09-25 14:39:24 | src.evaluation.evaluator       | WARNING | SNR=-3.0 dB: 29/512 sensing elements outside [0,1] (min=-1.1558, max=1.6068) -> clamped
2026-09-25 14:39:24 | src.evaluation.evaluator       | WARNING | SNR=-1.0 dB: 25/512 sensing elements outside [0,1] (min=-1.2636, max=1.7067) -> clamped
2026-09-25 14:39:24 | src.evaluation.evaluator       | WARNING | SNR=1.0 dB: 21/512 sensing elements outside [0,1] (min=-0.6448, max=1.3880) -> clamped
