2026-09-26 12:32:03 | src.models.dcsk_correlator     | INFO   | evaluate_classical: detector=matched_filter, n_bits=400, n_errors=21, BER=0.052500
2026-09-26 12:32:03 | src.models.dcsk_correlator     | INFO   | evaluate_classical: detector=energy_detector, n_bits=400, n_errors=200, BER=0.500000
2026-09-26 12:32:03 | src.models.dcsk_correlator     | INFO   | evaluate_classical: detector=dcsk, n_bits=400, n_errors=112, BER=0.280000
2026-09-26 12:32:03 | src.models.dcsk_correlator     | INFO   | evaluate_classical: detector=matched_filter, n_bits=400, n_errors=24, BER=0.060000
2026-09-26 12:32:03 | src.models.dcsk_correlator     | INFO   | evaluate_classical: detector=energy_detector, n_bits=400, n_errors=200, BER=0.500000
2026-09-26 12:32:03 | src.models.dcsk_correlator     | INFO   | evaluate_classical: detector=dcsk, n_bits=400, n_errors=110, BER=0.275000
2026-09-26 12:32:03 | src.models.dcsk_correlator     | INFO   | evaluate_classical: detector=matched_filter, n_bits=400, n_errors=30, BER=0.075000
2026-09-26 12:32:03 | src.models.dcsk_correlator     | INFO   | evaluate_classical: detector=energy_detector, n_bits=400, n_errors=200, BER=0.500000
2026-09-26 12:32:03 | src.models.dcsk_correlator     | INFO   | evaluate_classical: detector=dcsk, n_bits=400, n_errors=109, BER=0.272500
2026-09-26 12:32:03 | src.models.dcsk_correlator     | INFO   | evaluate_classical: detector=matched_filter, n_bits=400, n_errors=37, BER=0.092500
2026-09-26 12:32:03 | src.models.dcsk_correlator     | INFO   | evaluate_classical: detector=energy_detector, n_bits=400, n_errors=200, BER=0.500000
2026-09-26 12:32:03 | src.models.dcsk_correlator     | INFO   | evaluate_classical: detector=dcsk, n_bits=400, n_errors=113, BER=0.282500
2026-09-26 12:32:03 | src.models.dcsk_correlator     | INFO   | evaluate_classical: detector=matched_filter, n_bits=400, n_errors=43, BER=0.107500
2026-09-26 12:32:03 | src.models.dcsk_correlator     | INFO   | evaluate_classical: detector=energy_detector, n_bits=400, n_errors=200, BER=0.500000
2026-09-26 12:32:03 | src.models.dcsk_correlator     | INFO   | evaluate_classical: detector=dcsk, n_bits=400, n_errors=119, BER=0.297500
2026-09-26 12:32:03 | src.models.dcsk_correlator     | INFO   | evaluate_classical: detector=matched_filter, n_bits=400, n_errors=51, BER=0.127500
2026-09-26 12:32:03 | src.models.dcsk_correlator     | INFO   | evaluate_classical: detector=energy_detector, n_bits=400, n_errors=200, BER=0.500000
2026-09-26 12:32:03 | src.models.dcsk_correlator     | INFO   | evaluate_classical: detector=dcsk, n_bits=400, n_errors=126, BER=0.315000
2026-09-26 12:32:03 | src.models.dcsk_correlator     | INFO   | evaluate_classical: detector=matched_filter, n_bits=400, n_errors=62, BER=0.155000
2026-09-26 12:32:03 | src.models.dcsk_correlator     | INFO   | evaluate_classical: detector=energy_detector, n_bits=400, n_errors=200, BER=0.500000
